,Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
179,юр. лицо,списание средств,1928.29,наличный,Гродно,БелАгропромбанк-DJVQ-650,02-03-2006,00:53:58,успешно,да,122.47
185,юр. лицо,списание средств,891.67,безналичный,Гомель,БелАгропромбанк-MDIB-255,17-06-2003,02:35:51,недостаточно средств,да,64.54
186,юр. лицо,списание средств,761.12,безналичный,Брест,МаксБанк-MAPP-136,06-10-2009,23:47:03,неправильный ввод пин-кода,да,37.64
191,физ. лицо,списание средств,4026.96,наличный,Гродно,Белинвестбанк-FGJI-560,02-10-2000,19:42:10,недостаточно средств,да,302.86
193,физ. лицо,списание средств,1076.37,наличный,Гродно,Приорбанк-QWCX-911,13-10-2023,18:36:12,неправильный ввод пин-кода,да,82.59
194,юр. лицо,списание средств,50.48,наличный,Гродно,Беларусбанк-HXJT-868,15-10-2019,03:29:28,успешно,да,2.31
195,физ. лицо,списание средств,4345.03,безналичный,Брест,МаксБанк-BKDV-574,09-05-2012,01:04:48,неправильный ввод пин-кода,да,255.39
201,физ. лицо,списание средств,4199.54,наличный,Брест,МаксБанк-WIHM-277,27-08-2012,13:24:09,недостаточно средств,да,142.94
209,физ. лицо,списание средств,2319.01,безналичный,Могилев,Белинвестбанк-EYRS-184,28-12-2016,09:43:58,неправильный ввод пин-кода,да,155.51
217,физ. лицо,списание средств,4413.33,безналичный,Гомель,МаксБанк-WUJE-196,29-10-2002,11:16:08,неправильный ввод пин-кода,да,52.24
219,юр. лицо,списание средств,3094.29,безналичный,Могилев,Белинвестбанк-QTLD-495,17-11-2006,02:22:33,успешно,да,105.36
229,физ. лицо,списание средств,2251.96,наличный,Витебск,Беларусбанк-HASG-077,21-05-2019,02:46:45,неправильный ввод пин-кода,да,146.43
230,юр. лицо,списание средств,3619.97,наличный,Брест,БелАгропромбанк-UQPW-323,17-10-2011,02:00:45,успешно,да,157.46
231,физ. лицо,списание средств,3608.86,наличный,Брест,Приорбанк-IHZB-606,05-09-2013,08:31:51,недостаточно средств,да,226.32
233,физ. лицо,списание средств,3574.28,наличный,Гомель,Приорбанк-ZUJJ-467,24-03-2021,02:30:56,недостаточно средств,да,122.37
235,физ. лицо,списание средств,2603.22,наличный,Гомель,БелАгропромбанк-JEVT-075,05-01-2012,14:57:29,недостаточно средств,да,118.43
236,физ. лицо,списание средств,1973.54,безналичный,Минск,Беларусбанк-AMCI-080,02-12-2012,17:28:17,недостаточно средств,да,45.59
239,юр. лицо,списание средств,1442.56,безналичный,Гродно,БелАгропромбанк-ZZYA-560,24-01-2008,05:09:10,неправильный ввод пин-кода,да,99.38
240,юр. лицо,списание средств,4233.84,наличный,Гомель,Беларусбанк-XWQB-890,24-12-2023,15:37:13,неправильный ввод пин-кода,да,295.24
245,юр. лицо,списание средств,190.06,наличный,Могилев,БелАгропромбанк-WDRD-822,08-08-2002,22:39:16,неправильный ввод пин-кода,да,5.65
251,юр. лицо,списание средств,3817.18,наличный,Могилев,БелАгропромбанк-VIRF-603,29-02-2004,10:46:54,неправильный ввод пин-кода,да,252.19
256,физ. лицо,списание средств,1162.41,наличный,Минск,Беларусбанк-UKQT-087,29-06-2019,01:26:57,недостаточно средств,да,31.36
261,юр. лицо,списание средств,4823.25,наличный,Минск,БелАгропромбанк-GWYR-670,16-02-2004,07:45:56,недостаточно средств,да,184.34
267,физ. лицо,списание средств,1246.66,наличный,Гомель,Приорбанк-INJL-508,18-01-2006,10:43:27,неправильный ввод пин-кода,да,52.19
277,юр. лицо,списание средств,3125.38,наличный,Брест,БелАгропромбанк-DFLO-190,09-02-2007,12:59:01,недостаточно средств,да,137.24
280,физ. лицо,списание средств,2822.44,наличный,Витебск,Белинвестбанк-RPAH-038,10-03-2004,17:40:51,успешно,да,259.58
284,физ. лицо,списание средств,3330.73,безналичный,Могилев,Белинвестбанк-VZWQ-997,13-07-2022,11:36:31,недостаточно средств,да,190.27
285,физ. лицо,списание средств,4151.42,безналичный,Гомель,МаксБанк-HIFZ-685,14-08-2017,11:58:28,неправильный ввод пин-кода,да,190.32
287,юр. лицо,списание средств,2732.63,безналичный,Брест,МаксБанк-SOBU-093,22-07-2020,23:03:39,неправильный ввод пин-кода,да,57.13
288,физ. лицо,списание средств,2692.61,безналичный,Брест,МаксБанк-QDHM-562,08-07-2024,04:19:14,недостаточно средств,да,55.72
300,физ. лицо,списание средств,1828.3,безналичный,Могилев,Беларусбанк-UDUZ-594,06-05-2011,14:14:43,неправильный ввод пин-кода,да,42.33
301,физ. лицо,списание средств,727.49,наличный,Витебск,МаксБанк-ZAXG-369,21-12-2007,19:59:02,недостаточно средств,да,55.18
310,физ. лицо,списание средств,4151.53,наличный,Гродно,Приорбанк-WZJK-496,09-02-2013,03:12:41,успешно,да,201.85
314,физ. лицо,списание средств,4655.69,наличный,Минск,Белинвестбанк-HFPU-991,23-04-2018,04:04:32,недостаточно средств,да,128.62
317,юр. лицо,списание средств,1754.88,наличный,Брест,Приорбанк-OJEG-770,08-10-2010,22:14:30,недостаточно средств,да,95.98
318,юр. лицо,списание средств,2967.88,наличный,Витебск,Приорбанк-DSPB-294,16-10-2018,19:26:58,недостаточно средств,да,97.8
322,физ. лицо,списание средств,2249.03,наличный,Могилев,Приорбанк-QYNF-575,27-08-2003,10:47:10,недостаточно средств,да,36.57
326,физ. лицо,списание средств,826.89,наличный,Могилев,БелАгропромбанк-QOSE-071,20-10-2002,07:00:06,успешно,да,18.8
329,юр. лицо,списание средств,3807.05,наличный,Могилев,Приорбанк-SZZF-018,13-12-2015,20:04:25,недостаточно средств,да,115.26
331,юр. лицо,списание средств,4173.95,безналичный,Витебск,БелАгропромбанк-RRPA-466,25-08-2016,10:43:39,неправильный ввод пин-кода,да,280.85
335,юр. лицо,списание средств,3551.14,наличный,Брест,МаксБанк-PCEY-825,12-11-2005,02:50:30,успешно,да,306.37
339,юр. лицо,списание средств,4543.69,наличный,Витебск,Беларусбанк-AWLZ-560,07-10-2005,01:05:13,недостаточно средств,да,154.57
344,физ. лицо,списание средств,3867.21,наличный,Могилев,БелАгропромбанк-ZEAI-123,10-03-2020,03:50:59,неправильный ввод пин-кода,да,272.8
346,юр. лицо,списание средств,4916.34,наличный,Брест,Приорбанк-UZEN-229,08-09-2005,07:53:23,успешно,да,107.07
348,юр. лицо,списание средств,4535.07,наличный,Гродно,Белинвестбанк-KOXO-406,06-06-2017,03:46:45,недостаточно средств,да,248.56
349,юр. лицо,списание средств,4906.89,наличный,Минск,Беларусбанк-IHQY-245,16-06-2022,20:46:45,недостаточно средств,да,104.29
353,физ. лицо,списание средств,2196.48,наличный,Гомель,Белинвестбанк-YSNZ-497,12-05-2021,15:31:32,успешно,да,138.86
354,юр. лицо,списание средств,1983.73,безналичный,Брест,Беларусбанк-RQGT-964,05-06-2003,07:06:16,неправильный ввод пин-кода,да,54.61
359,юр. лицо,списание средств,487.28,безналичный,Могилев,МаксБанк-PCCY-048,29-11-2019,20:08:43,неправильный ввод пин-кода,да,25.4
360,юр. лицо,списание средств,2113.04,наличный,Гомель,Белинвестбанк-XWBK-881,21-09-2007,13:49:30,недостаточно средств,да,98.75
365,физ. лицо,списание средств,4639.2,наличный,Витебск,БелАгропромбанк-EUHJ-153,28-10-2017,12:34:08,неправильный ввод пин-кода,да,54.72
373,физ. лицо,списание средств,2936.47,безналичный,Минск,Приорбанк-JDNI-032,28-12-2024,01:26:58,недостаточно средств,да,90.9
375,физ. лицо,списание средств,3589.15,наличный,Минск,БелАгропромбанк-UGEG-975,10-09-2024,01:20:56,неправильный ввод пин-кода,да,271.45
378,физ. лицо,списание средств,671.72,безналичный,Гродно,Беларусбанк-YRCC-103,03-06-2004,03:01:02,неправильный ввод пин-кода,да,46.78
384,юр. лицо,списание средств,1013.46,безналичный,Могилев,МаксБанк-GCPN-205,10-03-2007,05:26:54,неправильный ввод пин-кода,да,53.02
386,юр. лицо,списание средств,3562.25,наличный,Витебск,Приорбанк-GOYH-274,02-01-2023,20:45:05,неправильный ввод пин-кода,да,337.84
388,юр. лицо,списание средств,243.39,безналичный,Гомель,МаксБанк-XOTN-452,24-12-2004,10:35:50,неправильный ввод пин-кода,да,18.06
389,юр. лицо,списание средств,831.21,наличный,Могилев,Беларусбанк-HWQX-960,28-07-2005,15:43:00,неправильный ввод пин-кода,да,36.29
393,юр. лицо,списание средств,2466.28,наличный,Минск,Белинвестбанк-NVCW-795,08-07-2002,00:24:07,успешно,да,60.65
395,физ. лицо,списание средств,3897.18,безналичный,Витебск,Приорбанк-YZBD-920,27-08-2003,19:39:36,неправильный ввод пин-кода,да,76.64
397,юр. лицо,списание средств,1109.49,безналичный,Витебск,МаксБанк-HAAL-624,26-02-2020,10:00:46,неправильный ввод пин-кода,да,80.55
401,юр. лицо,списание средств,1753.16,наличный,Брест,МаксБанк-XUTU-244,20-10-2002,14:58:12,успешно,да,51.87
404,юр. лицо,списание средств,3861.1,безналичный,Минск,Белинвестбанк-RYZU-431,19-04-2024,09:33:51,недостаточно средств,да,45.6
408,физ. лицо,списание средств,3986.3,наличный,Витебск,Белинвестбанк-YULL-655,13-01-2023,06:03:35,неправильный ввод пин-кода,да,119.52
414,физ. лицо,списание средств,1411.29,безналичный,Минск,Белинвестбанк-WSQH-533,07-12-2019,03:09:33,неправильный ввод пин-кода,да,121.55
415,юр. лицо,списание средств,2950.99,наличный,Брест,Беларусбанк-ADYL-385,15-12-2001,00:33:53,недостаточно средств,да,156.95
423,физ. лицо,списание средств,343.13,безналичный,Брест,Приорбанк-OTQN-697,03-12-2013,22:09:36,успешно,да,30.64
425,физ. лицо,списание средств,546.58,безналичный,Гомель,Белинвестбанк-VZLX-633,19-02-2002,19:15:14,неправильный ввод пин-кода,да,42.68
427,физ. лицо,списание средств,3575.14,наличный,Витебск,Беларусбанк-IOKA-952,08-08-2008,03:27:33,неправильный ввод пин-кода,да,83.21
433,юр. лицо,списание средств,537.74,наличный,Минск,Приорбанк-MOGX-265,22-08-2012,09:12:28,неправильный ввод пин-кода,да,28.49
439,юр. лицо,списание средств,4258.83,безналичный,Брест,Приорбанк-HQMY-881,06-10-2013,01:37:56,недостаточно средств,да,132.35
446,физ. лицо,списание средств,4405.51,наличный,Гомель,МаксБанк-TVKF-350,12-11-2012,16:25:08,успешно,да,293.47
448,юр. лицо,списание средств,491.6,наличный,Гомель,Белинвестбанк-XJCN-003,13-08-2024,21:58:28,успешно,да,48.45
449,физ. лицо,списание средств,3646.81,безналичный,Гомель,Беларусбанк-MRGO-801,25-03-2013,14:07:52,недостаточно средств,да,232.93
457,юр. лицо,списание средств,339.57,безналичный,Гомель,Приорбанк-XCVZ-278,15-05-2022,18:47:58,успешно,да,13.52
461,юр. лицо,списание средств,4498.61,безналичный,Гомель,Беларусбанк-YKTZ-480,23-10-2008,05:43:13,успешно,да,411.02
462,физ. лицо,списание средств,180.38,наличный,Гомель,Приорбанк-PREI-700,05-06-2023,08:29:43,успешно,да,14.99
466,юр. лицо,списание средств,2385.96,наличный,Минск,МаксБанк-TSAQ-804,23-04-2004,22:04:03,недостаточно средств,да,60.74
467,физ. лицо,списание средств,3076.33,безналичный,Витебск,МаксБанк-MYZL-713,22-05-2001,10:56:32,недостаточно средств,да,144.24
468,физ. лицо,списание средств,603.52,наличный,Гродно,Беларусбанк-VNFB-460,23-01-2022,09:46:02,недостаточно средств,да,15.63
473,юр. лицо,списание средств,3302.2,безналичный,Брест,БелАгропромбанк-AGFY-924,03-10-2011,12:55:23,неправильный ввод пин-кода,да,134.62
474,юр. лицо,списание средств,866.27,безналичный,Минск,МаксБанк-LEGW-081,09-04-2004,17:59:18,недостаточно средств,да,39.73
475,юр. лицо,списание средств,1214.91,безналичный,Витебск,Белинвестбанк-GWTZ-249,07-07-2009,06:55:13,успешно,да,40.57
479,физ. лицо,списание средств,4514.37,наличный,Могилев,Белинвестбанк-RCNZ-453,01-11-2024,02:23:09,успешно,да,200.32
480,физ. лицо,списание средств,321.55,безналичный,Брест,Беларусбанк-ABPD-648,16-10-2011,01:14:16,неправильный ввод пин-кода,да,6.61
481,юр. лицо,списание средств,631.11,наличный,Витебск,БелАгропромбанк-TDFM-795,21-08-2019,01:25:31,неправильный ввод пин-кода,да,50.56
484,физ. лицо,списание средств,1752.38,наличный,Гомель,Белинвестбанк-HNXO-251,27-02-2016,03:43:00,успешно,да,35.35
492,юр. лицо,списание средств,3172.25,безналичный,Гродно,БелАгропромбанк-LPBJ-657,29-12-2013,11:58:30,недостаточно средств,да,32.85
494,физ. лицо,списание средств,4092.07,безналичный,Гродно,Белинвестбанк-CIGT-050,03-08-2006,03:26:54,недостаточно средств,да,212.02
498,юр. лицо,списание средств,3583.73,безналичный,Витебск,БелАгропромбанк-OTWF-974,30-06-2022,12:25:42,недостаточно средств,да,145.67
506,физ. лицо,списание средств,880.44,наличный,Минск,Приорбанк-TYZM-297,29-05-2020,22:34:15,недостаточно средств,да,85.75
507,юр. лицо,списание средств,2704.01,безналичный,Гомель,Беларусбанк-VMBE-700,27-11-2014,23:46:21,неправильный ввод пин-кода,да,253.7
511,юр. лицо,списание средств,1855.54,безналичный,Гомель,БелАгропромбанк-DSRF-202,04-12-2020,19:23:54,недостаточно средств,да,43.63
516,физ. лицо,списание средств,4866.9,безналичный,Гродно,БелАгропромбанк-CGOB-196,28-06-2019,07:07:48,успешно,да,81.18
534,юр. лицо,списание средств,2605.9,безналичный,Гомель,Беларусбанк-JLXD-982,17-02-2024,08:56:01,неправильный ввод пин-кода,да,127.4
545,юр. лицо,списание средств,2269.07,наличный,Брест,Белинвестбанк-PJMI-532,28-09-2017,16:10:31,неправильный ввод пин-кода,да,92.01
546,физ. лицо,списание средств,2850.44,безналичный,Витебск,Белинвестбанк-YISC-526,27-10-2012,06:09:29,неправильный ввод пин-кода,да,74.07
552,юр. лицо,списание средств,2058.75,наличный,Гродно,Белинвестбанк-CFLQ-578,25-02-2018,13:45:08,успешно,да,73.31
555,юр. лицо,списание средств,3863.14,безналичный,Гомель,Приорбанк-HQTI-752,30-08-2019,11:53:04,недостаточно средств,да,99.26
558,физ. лицо,списание средств,1014.71,безналичный,Гомель,Белинвестбанк-XTSI-163,11-05-2003,21:31:03,успешно,да,13.31
583,юр. лицо,списание средств,3781.34,безналичный,Брест,Приорбанк-NRRN-621,17-12-2013,06:53:49,успешно,да,228.37
590,юр. лицо,списание средств,1076.94,безналичный,Витебск,БелАгропромбанк-KPIO-464,03-03-2004,12:34:17,недостаточно средств,да,72.74
596,юр. лицо,списание средств,1753.2,наличный,Брест,БелАгропромбанк-PGWV-358,10-01-2005,01:22:35,недостаточно средств,да,96.43
598,физ. лицо,списание средств,4691.27,безналичный,Могилев,Белинвестбанк-HFKK-590,06-01-2008,23:34:13,недостаточно средств,да,356.78
606,физ. лицо,списание средств,2244.82,наличный,Минск,БелАгропромбанк-MJKF-971,17-07-2008,16:18:08,неправильный ввод пин-кода,да,175.42
609,юр. лицо,списание средств,2158.09,наличный,Могилев,БелАгропромбанк-MTMD-822,08-06-2002,16:48:17,успешно,да,169.45
612,физ. лицо,списание средств,4924.43,наличный,Гомель,Беларусбанк-FAVK-550,31-07-2008,05:44:03,недостаточно средств,да,489.97
613,юр. лицо,списание средств,1264.03,наличный,Гомель,БелАгропромбанк-MWAX-126,02-10-2001,12:24:38,недостаточно средств,да,56.05
615,физ. лицо,списание средств,730.93,наличный,Гродно,Беларусбанк-ALOE-422,18-01-2019,14:39:34,недостаточно средств,да,24.64
618,юр. лицо,списание средств,438.44,наличный,Витебск,Приорбанк-NNJL-379,12-04-2024,19:24:19,недостаточно средств,да,26.74
620,физ. лицо,списание средств,1253.32,наличный,Гомель,Беларусбанк-RNMA-599,20-10-2011,21:47:38,недостаточно средств,да,94.86
626,юр. лицо,списание средств,3240.46,безналичный,Могилев,Беларусбанк-NHHT-952,23-09-2004,16:08:58,неправильный ввод пин-кода,да,120.26
628,юр. лицо,списание средств,1933.41,безналичный,Витебск,Беларусбанк-ECND-528,04-08-2012,18:54:50,недостаточно средств,да,93.45
637,юр. лицо,списание средств,3834.64,наличный,Гродно,Белинвестбанк-LJNA-606,17-08-2013,00:05:06,неправильный ввод пин-кода,да,327.75
641,физ. лицо,списание средств,934.69,наличный,Витебск,Беларусбанк-RWIN-460,02-10-2012,17:19:26,неправильный ввод пин-кода,да,30.54
642,юр. лицо,списание средств,892.62,безналичный,Гомель,Беларусбанк-BQCV-072,03-12-2016,05:08:48,успешно,да,38.61
647,юр. лицо,списание средств,1848.83,наличный,Брест,БелАгропромбанк-LYDG-847,03-05-2009,14:10:47,недостаточно средств,да,183.86
648,физ. лицо,списание средств,1945.75,безналичный,Гродно,Беларусбанк-YTWM-400,18-06-2005,10:11:29,неправильный ввод пин-кода,да,92.09
664,юр. лицо,списание средств,1606.62,наличный,Витебск,Белинвестбанк-TOEX-390,12-02-2000,20:39:43,недостаточно средств,да,145.54
669,физ. лицо,списание средств,4818.94,безналичный,Витебск,Белинвестбанк-ITAS-159,03-05-2007,05:29:38,недостаточно средств,да,139.87
670,юр. лицо,списание средств,947.03,безналичный,Минск,БелАгропромбанк-LBVZ-151,22-12-2010,22:27:03,успешно,да,93.21
671,юр. лицо,списание средств,4942.43,безналичный,Минск,Беларусбанк-OEVD-247,21-02-2018,15:10:32,неправильный ввод пин-кода,да,488.99
685,юр. лицо,списание средств,4589.31,наличный,Гродно,Белинвестбанк-KAAL-305,10-08-2016,21:36:04,недостаточно средств,да,419.59
688,юр. лицо,списание средств,778.54,наличный,Гродно,БелАгропромбанк-DCBX-337,23-09-2001,10:09:18,неправильный ввод пин-кода,да,62.99
691,физ. лицо,списание средств,3129.08,наличный,Минск,БелАгропромбанк-NEZX-001,05-04-2003,19:50:19,неправильный ввод пин-кода,да,240.89
697,физ. лицо,списание средств,2536.42,наличный,Брест,Беларусбанк-JYNV-416,16-07-2018,06:10:59,неправильный ввод пин-кода,да,46.26
699,физ. лицо,списание средств,3116.81,безналичный,Минск,БелАгропромбанк-IRSE-384,14-04-2015,11:59:42,успешно,да,301.79
700,юр. лицо,списание средств,1280.28,наличный,Гомель,Приорбанк-DDTW-334,16-10-2005,08:35:50,успешно,да,66.44
707,юр. лицо,списание средств,3299.53,безналичный,Минск,Приорбанк-SCCG-818,13-07-2002,23:34:07,успешно,да,150.63
709,юр. лицо,списание средств,1672.95,безналичный,Брест,Приорбанк-ITLA-223,09-11-2010,17:35:56,неправильный ввод пин-кода,да,92.35
715,физ. лицо,списание средств,2645.27,безналичный,Могилев,БелАгропромбанк-RHMS-689,03-01-2005,18:07:26,успешно,да,202.93
719,физ. лицо,списание средств,250.6,наличный,Витебск,БелАгропромбанк-QYPT-061,15-10-2022,04:50:36,неправильный ввод пин-кода,да,5.48
720,юр. лицо,списание средств,2247.76,наличный,Брест,Белинвестбанк-JSGS-875,20-06-2006,06:28:41,недостаточно средств,да,102.75
726,физ. лицо,списание средств,2012.06,наличный,Витебск,МаксБанк-SOMS-388,17-03-2007,08:05:49,успешно,да,92.78
736,юр. лицо,списание средств,106.22,наличный,Гомель,МаксБанк-MXOK-465,01-01-2021,05:33:34,неправильный ввод пин-кода,да,9.58
740,юр. лицо,списание средств,866.02,безналичный,Минск,МаксБанк-XPBT-120,23-08-2003,05:16:42,неправильный ввод пин-кода,да,34.65
743,юр. лицо,списание средств,2207.21,безналичный,Брест,БелАгропромбанк-YFSW-897,18-07-2012,09:10:17,неправильный ввод пин-кода,да,113.95
744,юр. лицо,списание средств,2265.85,наличный,Минск,Приорбанк-JNCA-551,14-05-2016,05:02:16,неправильный ввод пин-кода,да,30.2
747,юр. лицо,списание средств,730.57,наличный,Минск,БелАгропромбанк-XBKU-769,13-02-2023,16:52:42,успешно,да,62.54
753,физ. лицо,списание средств,532.76,наличный,Гродно,МаксБанк-QICG-572,29-05-2022,07:08:13,неправильный ввод пин-кода,да,52.03
757,физ. лицо,списание средств,739.5,наличный,Гомель,Беларусбанк-FVBM-770,14-08-2013,13:46:27,недостаточно средств,да,43.7
759,юр. лицо,списание средств,1226.18,наличный,Гомель,Белинвестбанк-JNGZ-674,29-08-2019,19:47:11,неправильный ввод пин-кода,да,111.41
760,юр. лицо,списание средств,3351.4,безналичный,Могилев,Беларусбанк-GJAK-148,13-07-2020,18:41:19,недостаточно средств,да,80.04
762,юр. лицо,списание средств,611.85,безналичный,Могилев,Приорбанк-DCSM-728,25-09-2024,09:47:54,неправильный ввод пин-кода,да,41.45
772,юр. лицо,списание средств,4817.19,наличный,Брест,МаксБанк-RAFJ-630,29-06-2007,16:40:18,недостаточно средств,да,370.03
778,юр. лицо,списание средств,1288.12,безналичный,Брест,БелАгропромбанк-MJLZ-534,25-05-2010,06:48:39,успешно,да,126.95
788,физ. лицо,списание средств,3715.23,безналичный,Минск,Приорбанк-UZFI-481,23-07-2020,16:32:33,успешно,да,282.23
